rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Expansion.Conjunction	und	geboren	aufgewachsen
Explicit	Comparison.Concession.Arg2-as-denier	Allerdings	Ich bin in Sierra Leone geboren und aufgewachsen , einem kleinen und sehr schönen Land in Westafrika , einem Land reich sowohl an Bodenschätzen als auch an kreativen Talenten	ist Sierra Leone berüchtigt für einen jahrzehntelangen Rebellenkrieg in den 90ern , in dem ganze Dörfer niedergebrannt wurden
AltLex	Temporal.Synchronous	in dieser Zeit	Allerdings ist Sierra Leone berüchtigt für einen jahrzehntelangen Rebellenkrieg in den 90ern , in dem ganze Dörfer niedergebrannt wurden	
Implicit	Expansion.Conjunction	and	Schätzungsweise 8 000 Männern , Frauen und Kindern wurden in dieser Zeit Arme und Beine amputiert	Meine Familie und ich brachten uns vor einem dieser Angriffe in Sicherheit , als ich 12 war
Explicit	Temporal.Synchronous	als	Meine Familie und ich brachten uns vor einem dieser Angriffe in Sicherheit	ich 12 war
AltLex	Temporal.Synchronous	In diesem Moment	Meine Familie und ich brachten uns vor einem dieser Angriffe in Sicherheit , als ich 12 war	nahm ich mir vor , alles zu tun , um sicherzustellen , dass meine eigenen Kinder nicht dasselbe erleben müssen , was wir erlebt haben
Explicit	Expansion.Level-of-detail.Arg2-as-detail	Vielmehr	In diesem Moment nahm ich mir vor , alles zu tun , um sicherzustellen , dass meine eigenen Kinder nicht dasselbe erleben müssen , was wir erlebt haben	sollten sie Teil von einem Sierra Leone sein , in dem Krieg und Amputationen nicht als Strategie zur Machtgewinnung genutzt werden
Explicit	Comparison.Concession.Arg2-as-denier	aber	Ich beobachtete Menschen , die ich kannte , liebte , wie sie sich von dieser Verwüstung erholten	eine Sache quälte mich zutiefst
Explicit	Expansion.Level-of-detail.Arg2-as-detail	und zwar	eine Sache quälte mich zutiefst	dass viele der Amputierten in diesem Land nicht ihre Prothesen benutzten
Explicit	Temporal.Asynchronous.Precedence	wie		ich später herausfand
AltLex	Temporal.Asynchronous.Succession	später		
Explicit	Contingency.Cause.Reason	weil	die Schmerzen verursachten	sie nicht gut passten
Explicit	Temporal.Asynchronous.Precedence	bis	Selbst in den Industrieländern dauert es drei Wochen bis hin zu Jahren	sich ein Patient an den Schaft gewöhnt
Explicit	Comparison.Concession+SpeechAct.Arg2-as-denier+SpeechAct	wenn	Selbst in den Industrieländern dauert es drei Wochen bis hin zu Jahren , bis sich ein Patient an den Schaft gewöhnt	überhaupt
Implicit	Contingency.Cause.Reason	because	Selbst in den Industrieländern dauert es drei Wochen bis hin zu Jahren , bis sich ein Patient an den Schaft gewöhnt , wenn überhaupt	Prothesenbauer benutzen immer noch konventionelle Methoden , wie Pressen und Gießen , um Unibody-Prothesenschäfte herzustellen
Explicit	Contingency.Purpose.Arg2-as-goal	um	Prothesenbauer benutzen immer noch konventionelle Methoden , wie Pressen und Gießen	Unibody-Prothesenschäfte herzustellen
Implicit	Expansion.Level-of-detail.Arg2-as-detail	and	Prothesenbauer benutzen immer noch konventionelle Methoden , wie Pressen und Gießen , um Unibody-Prothesenschäfte herzustellen	Solche Schäfte üben oft unerträglichen Druck auf die Glieder der Patienten aus und verursachen Druckwunden und Blasen
Explicit	Expansion.Conjunction	und	üben oft unerträglichen Druck auf die Glieder der Patienten aus	verursachen Druckwunden und Blasen
Explicit	Comparison.Concession.Arg2-as-denier	Ganz gleich	werden Sie die Prothese nicht nutzen	wie leistungsfähig die Knöchelprothese ist
Implicit	Expansion.Level-of-detail.Arg2-as-detail	because	Solche Schäfte üben oft unerträglichen Druck auf die Glieder der Patienten aus und verursachen Druckwunden und Blasen	Ganz gleich , wie leistungsfähig die Knöchelprothese ist , wenn der Prothesenschaft unbequem ist , werden Sie die Prothese nicht nutzen , und das ist heutzutage einfach inakzeptabel
Explicit	Contingency.Condition.Arg2-as-cond	wenn		der Prothesenschaft unbequem ist
Explicit	Expansion.Conjunction	und	Ganz gleich , wie leistungsfähig die Knöchelprothese ist , wenn der Prothesenschaft unbequem ist , werden Sie die Prothese nicht nutzen	das ist heutzutage einfach inakzeptabel
Explicit	Temporal.Synchronous	als		ich Professor Hugh Herr vor zweieinhalb Jahren traf , und er mich fragte , ob ich eine Lösung für dieses Problem hätte
Explicit	Expansion.Conjunction	und	ich Professor Hugh Herr vor zweieinhalb Jahren traf	er mich fragte , ob ich eine Lösung für dieses Problem hätte
Explicit	Comparison.Concession.Arg2-as-denier	aber	Nein , noch nicht	ich würde sie liebend gerne finden
Explicit	Contingency.Cause.Result	Also	"Damals , als ich Professor Hugh Herr vor zweieinhalb Jahren traf , und er mich fragte , ob ich eine Lösung für dieses Problem hätte , sagte ich : "" Nein , noch nicht , aber ich würde sie liebend gerne finden"	habe ich für meine Doktorarbeit am MIT Media Lab maßgefertige Prothesenschäfte entworfen , schnell und günstig , mit mehr Tragekomfort als herkömmliche Prothesen
Implicit	Temporal.Asynchronous.Precedence	after that	habe ich für meine Doktorarbeit am MIT Media Lab maßgefertige Prothesenschäfte entworfen , schnell und günstig , mit mehr Tragekomfort als herkömmliche Prothesen	Mittels Magnetresonanztomografie ( MRT ) erfasste ich die genaue Form der Anatomie des Patienten , benutzte die Berechnungstechnologie FEM , um besser vorherzusehen , welche inneren Belastungen bei normaler Nutzung entstehen , und lies danach einen Prothesenschaft herstellen
Explicit	Expansion.Conjunction	und	Mittels Magnetresonanztomografie ( MRT ) erfasste ich die genaue Form der Anatomie des Patienten , benutzte die Berechnungstechnologie FEM , um besser vorherzusehen , welche inneren Belastungen bei normaler Nutzung entstehen	lies danach einen Prothesenschaft herstellen
Explicit	Expansion.Conjunction	danach	benutzte die Berechnungstechnologie FEM , um besser vorherzusehen , welche inneren Belastungen bei normaler Nutzung entstehen	
Implicit	Expansion.Level-of-detail.Arg2-as-detail	specifically	Mittels Magnetresonanztomografie ( MRT ) erfasste ich die genaue Form der Anatomie des Patienten , benutzte die Berechnungstechnologie FEM , um besser vorherzusehen , welche inneren Belastungen bei normaler Nutzung entstehen , und lies danach einen Prothesenschaft herstellen	Wir benutzen 3D-Drucker , um Prothesenschäfte aus mehreren Materialen herzustellen , die den Druck dort verringern , wo es die Anatomie des Patienten nötig macht
Explicit	Contingency.Purpose.Arg2-as-goal	um	Wir benutzen 3D-Drucker	Prothesenschäfte aus mehreren Materialen herzustellen , die den Druck dort verringern , wo es die Anatomie des Patienten nötig macht
