rel_type	rel_sense	conn_text	arg1_text	arg2_text
Implicit	Expansion.Conjunction	e	O universo está repleto de planetas	Gostaria que , na próxima década , construíssemos um telescópio espacial que conseguisse a imagem de uma Terra na órbita de outra estrela e descobrisse se pode ter vida
Explicit	Expansion.Conjunction	e	conseguisse a imagem de uma Terra na órbita de outra estrela	descobrisse se pode ter vida
Implicit	Contingency.Cause.Result	por conseguinte	Gostaria que , na próxima década , construíssemos um telescópio espacial que conseguisse a imagem de uma Terra na órbita de outra estrela e descobrisse se pode ter vida	Eu e os meus colegas no Laboratório de Propulsão a Jacto de_ a NASA , em Princeton , estamos a trabalhar na tecnologia que fará isso mesmo nos próximos anos
Explicit	Expansion.Conjunction	e	Os astrónomos acreditam que cada estrela de_ a galáxia tem um planeta ,	especulam que até um quinto de_ eles tem um planeta de_ o tipo de_ a Terra que poderá ter vida
Explicit	Comparison.Concession.Arg2-as-denier	mas	especulam que até um quinto de_ eles tem um planeta de_ o tipo de_ a Terra que poderá ter vida	ainda não vimos nenhum de_ eles
Implicit	Expansion.Substitution.Arg2-as-subst	pelo contrário	ainda não vimos nenhum de_ eles	Apenas os detectámos indirectamente
Explicit	Temporal.Synchronous	quando	Foi tirada pela nave Voyager em 1990	a fizeram rodar a_ o sair de_ o sistema solar para tirar uma foto de_ a Terra à distância de seis mil milhões de quilómetros
Explicit	Temporal.Synchronous	a_ o	a fizeram rodar	sair de_ o sistema solar
Explicit	Contingency.Purpose.Arg2-as-goal	para	a fizeram rodar a_ o sair de_ o sistema solar	tirar uma foto de_ a Terra à distância de seis mil milhões de quilómetros
Implicit	Comparison.Similarity	Da mesma forma	Foi tirada pela nave Voyager em 1990 , quando a fizeram rodar a_ o sair de_ o sistema solar para tirar uma foto de_ a Terra à distância de seis mil milhões de quilómetros	Gostaria de ter uma de um planeta de_ o tipo de_ a Terra na órbita de outra estrela
Implicit	Comparison.Concession.Arg2-as-denier	mas	Gostaria de ter uma de um planeta de_ o tipo de_ a Terra na órbita de outra estrela	Porque ainda não o conseguimos
Implicit	Expansion.Conjunction	e	Porque ainda não o conseguimos	Porque é tão difícil
AltLex	Contingency.Cause.Reason	Porque	imaginemos que pegamos no Telescópio Espacial Hubble e o rodamos e o deslocamos para a órbita de Marte . Veríamos algo assim , Uma imagem algo difusa de_ a Terra , porque é um telescópio um pouco pequeno na órbita de Marte . Afastemo -nos dez vezes mais . Aqui estamos na órbita de Urano . Ficou mais pequena , com menos detalhe , menor resolução . Ainda podemos ver a pequena Lua , mas afastemo -nos de novo dez vezes mais , Estamos no limiar de_ o sistema solar , na Cintura de Kuiper . Agora não tem qualquer resolução . É o ponto azul pálido , de Carl Sagan . Mas afastemo -nos de novo mais dez vezes . Aqui estamos na Nuvem de Oort , fora de_ o sistema solar , aqui começamos a ver o Sol a mover -se para o campo de visão e a sobrepor -se a_ o planeta . Mais uma vez , dez vezes mais distantes . Agora estamos na Alfa Centauri , a nossa estrela vizinha mais próxima , e o planeta desapareceu . Tudo o que vemos é a imagem de grandes feixes de_ a estrela que é dez mil milhões de vezes mais brilhante de_ o que o planeta , que deveria estar em_ aquele pequeno círculo vermelho . É o que queremos ver . É por isso que é difícil	é tão difícil
AltLex	Contingency.Condition.Arg2-as-cond	imaginemos que	Veríamos algo assim , Uma imagem algo difusa de_ a Terra , porque é um telescópio um pouco pequeno na órbita de Marte	pegamos no Telescópio Espacial Hubble e o rodamos e o deslocamos para a órbita de Marte
Explicit	Expansion.Conjunction	e	pegamos no Telescópio Espacial Hubble	o rodamos
Implicit	Temporal.Asynchronous.Precedence	depois	pegamos no Telescópio Espacial Hubble	e o rodamos
Explicit	Expansion.Conjunction	e	o rodamos	o deslocamos para a órbita de Marte
Implicit	Temporal.Asynchronous.Precedence	depois	o rodamos	e o deslocamos para a órbita de Marte
Explicit	Contingency.Cause.Reason	porque	Veríamos algo assim , Uma imagem algo difusa de_ a Terra	é um telescópio um pouco pequeno na órbita de Marte
Implicit	Temporal.Asynchronous.Precedence	a seguir	Veríamos algo assim , Uma imagem algo difusa de_ a Terra , porque é um telescópio um pouco pequeno na órbita de Marte	Afastemo -nos dez vezes mais
Implicit	Contingency.Cause.Result	assim	Afastemo -nos dez vezes mais	Aqui estamos na órbita de Urano
Implicit	Comparison.Concession.Arg2-as-denier	no entanto	Ficou mais pequena , com menos detalhe , menor resolução	Ainda podemos ver a pequena Lua
Explicit	Expansion.Conjunction	mas	Ainda podemos ver a pequena Lua	afastemo -nos de novo dez vezes mais
Implicit	Contingency.Cause.Result	por conseguinte	Estamos no limiar de_ o sistema solar , na Cintura de Kuiper	Agora não tem qualquer resolução
Implicit	Expansion.Level-of-detail.Arg2-as-detail	de facto	Agora não tem qualquer resolução	É o ponto azul pálido , de Carl Sagan
Explicit	Expansion.Conjunction	Mas	É o ponto azul pálido , de Carl Sagan	afastemo -nos de novo mais dez vezes
Implicit	Contingency.Cause.Result	por conseguinte	afastemo -nos de novo mais dez vezes	Aqui estamos na Nuvem de Oort , fora de_ o sistema solar , aqui começamos a ver o Sol a mover -se para o campo de visão e a sobrepor -se a_ o planeta
Explicit	Expansion.Conjunction	e	a mover -se para o campo de visão	a sobrepor -se a_ o planeta
Implicit	Contingency.Cause.Result	por conseguinte	Mais uma vez , dez vezes mais distantes	estamos na Alfa Centauri , a nossa estrela vizinha mais próxima , e o planeta desapareceu
Explicit	Expansion.Conjunction	e	estamos na Alfa Centauri , a nossa estrela vizinha mais próxima	o planeta desapareceu
Implicit	Expansion.Conjunction	e	estamos na Alfa Centauri , a nossa estrela vizinha mais próxima , e o planeta desapareceu	Tudo o que vemos é a imagem de grandes feixes de_ a estrela que é dez mil milhões de vezes mais brilhante de_ o que o planeta
Implicit	Expansion.Conjunction	e	É o que queremos ver	É por isso que é difícil
