rel_type	rel_sense	conn_text	arg1_text	arg2_text
Explicit	Expansion.Conjunction	doğup	büyüdüm	doğup
Explicit	Comparison.Concession.Arg2-as-denier	Ancak,	Ben Sierra Leone'da doğup büyüdüm, Batı Afrika'daki küçük ve çok güzel, hem maddi kaynaklar hem de yaratıcı yetenekler bakımından zengin bir ülkede	Sierra Leone'nun 90'lı yıllarda on yıl süren ve tüm köylerin yakılıp yıkıldığı iç savaştan dolayı kötü bir şöhreti vardır
Explicit	Expansion.Conjunction	ve	Sierra Leone'nun 90'lı yıllarda on yıl süren	tüm köylerin yakılıp yıkıldığı
Implicit	Expansion.Level-of-detail.Arg2-as-detail	şöyle ki	Sierra Leone'nun 90'lı yıllarda on yıl süren ve tüm köylerin yakılıp yıkıldığı iç savaştan dolayı kötü bir şöhreti vardır	Bu süre boyunca yaklaşık 8.000 erkek, kadın ve çocuğun kol ve bacakları kesilmiştir
Implicit	Contingency.Cause.Result	bu nedenle	Bu süre boyunca yaklaşık 8.000 erkek, kadın ve çocuğun kol ve bacakları kesilmiştir	Yaklaşık 12 yaşlarındayken ailemle beraber bu saldırılardan birinden kaçtığımızda kendi çocuklarımı bizim yaşadıklarımızı yaşamaktan korumak için elimden gelen her şeyi yapmaya karar verdim
Explicit	Temporal.Synchronous	kaçtığımızda	kendi çocuklarımı bizim yaşadıklarımızı yaşamaktan korumak için elimden gelen her şeyi yapmaya karar verdim	Yaklaşık 12 yaşlarındayken ailemle beraber bu saldırılardan birinden kaçtığımızda
Explicit	Contingency.Purpose.Arg2-as-goal	için	elimden gelen her şeyi yapmaya karar verdim	kendi çocuklarımı bizim yaşadıklarımızı yaşamaktan korumak
Explicit	Expansion.Level-of-detail.Arg2-as-detail	Aslında	kendi çocuklarımı bizim yaşadıklarımızı yaşamaktan korumak için elimden gelen her şeyi yapmaya karar verdim	onlar artık savaşın ve amputasyonun güç elde etme taktiği olmadığı bir Sierra Leone'nun parçası olacaktı
Implicit	Comparison.Concession.Arg2-as-denier	ama	onlar artık savaşın ve amputasyonun güç elde etme taktiği olmadığı bir Sierra Leone'nun parçası olacaktı	Tanıdığım, sevdiğim insanların bu yıkımın yaralarını sarışını izlerken beni çok üzen şey ülkede uzuvları kesilmiş olan çoğu insanın protezlerini kullanmamasıydı
Explicit	Temporal.Synchronous	izlerken	beni çok üzen şey ülkede uzuvları kesilmiş olan çoğu insanın protezlerini kullanmamasıydı	Tanıdığım, sevdiğim insanların bu yıkımın yaralarını sarışını izlerken
Explicit	Undecided	üzere	protez soketlerinin düzgün oturmadığı için canlarını yakmasıymış	sonradan öğrendiğim
